lemma,Count,part_of_speech,hyponyms
alter,5,verb,accelerate;acerbate;acetylate;achromatize;activate;activate;activate;activate;adjust;affect;affect;age;alchemize;alcoholize;alkalinize;allegorize;alter;americanize;angulate;animize;antiquate;antique;archaize;arterialize;ash;assimilate;automatize;automatize;awaken;barb;barbarize;bestialize;better;blind;blister;blunt;blur;blur;boil;break;break down;brighten;bring;bring;brutalize;bubble;calcify;camp;capture;cause to sleep;centralize;change intensity;change taste;charge;charge;chasten;check;circularize;civilize;clarify;classicize;clean;clear;clot;cloud;coarsen;coarsen;cohere;color;commercialize;communize;commute;complicate;complicate;condense;confuse;constitutionalize;contaminate;conventionalize;convert;convert;convert;cook;cool;corrupt;counterchange;crack;cry;customize;damage;darken;de-emphasize;deaden;deaden;deaminate;decarboxylate;decelerate;decentralize;decimalize;decorate;decrease;decrepitate;deflate;deform;dehydrogenate;demagnetize;demist;democratize;demonize;demulsify;demythologize;denationalize;denaturalize;denaturalize;denature;denature;denature;deodorize;depersonalize;depolarize;desensitize;desensitize;destabilize;detransitivize;devalue;develop;develop;devilize;digitize;dinge;dirty;disable;discolor;disharmonize;disintegrate;disorder;disqualify;dissimilate;dissolve;dissolve;diversify;dizzy;domesticate;dope;draw;dry;dull;dull;dynamize;dynamize;ease up;edit;edit;embrittle;empty;emulsify;enable;end;equal;eroticize;estrange;etherealize;etiolate;etiolate;europeanize;europeanize;evaporate;even;excite;excite;extend;exteriorize;fatten;feminize;fertilize;fill;fix;flatten;flocculate;freeze;frenchify;full;gelatinize;glamorize;glorify;habituate;harmonize;harshen;heat;hue;humanize;humble;hydrogenate;immaterialize;immortalize;inactivate;incandesce;increase;indispose;industrialize;inflate;inform;inseminate;insulate;intensify;internationalize;introvert;invalidate;invert;iodinate;ionate;islamize;isomerize;laicize;legitimate;lend;liberalize;lifehack;lift;liquefy;loosen;loosen;louden;lower;lubricate;magnetize;make;make;make;mark;masculinize;masculinize;mechanize;mechanize;militarize;militarize;mince;mix;morph;muddy;mythologize;nationalize;nationalize;naturalize;naturalize;nazify;neutralize;neutralize;nick;normalize;obfuscate;obscure;obscure;occidentalize;officialize;opacify;opalize;opsonize;orientalize;ossify;outmode;oxidize;oxygenize;paganize;pall;parallel;patent;personalize;piggyback;plasticize;poison;polarize;politicize;port;professionalize;proof;prostrate;purify;put;radicalize;rarefy;rarefy;rationalize;recombine;recommend;reconstruct;refine;reflate;reform;refresh;relax;remodel;restore;revolutionize;right;right;ripen;romanticize;round off;rusticate;sanitize;saponify;saturate;sauce;schematize;scramble;sensitize;sensitize;sensitize;sentimentalize;set;sexualize;shade;shake;shallow;shape;sharpen;sharpen;shift;shorten;simplify;slenderize;smut;sober;socialize;soften;solemnize;solvate;spice;spike;sputter;stabilize;stain;steepen;stiffen;still;straighten;strengthen;string;substitute;suburbanize;supercharge;supple;suspend;suspend;sweeten;switch;symmetrize;synchronize;tame;tender;tense;territorialize;thicken;think;tighten;tone down;touch;transaminate;transfigure;transform;transform;transform;transform;transform;transitivize;translate;transmute;transpose;turn;turn back;uglify;unclutter;uniformize;unite;unite;unsanctify;unscramble;unsex;untie;untune;urbanize;urbanize;validate;variegate;vascularize;ventilate;verbify;vesiculate;visualize;vitalize;vitrify;vivify;volatilize;vulgarise;warm;weaken;weaponize;wet;widen;worsen|adapt;alternate;avianize;break;crackle;diversify;diversify;honeycomb;let out;modulate;move;specialize;take in|defeminize
amass,5,verb,accrete;backlog;drift|bale;catch;collect;corral;fund;fund;lump;run up;scrape
amaze,5,verb,dazzle|elude;riddle;stump
ambit,5,noun,approximate range;confines;contrast;gamut;horizon;internationality;latitude;palette;spectrum;sweep
amble,5,noun,ramble;walkabout
ameba,5,noun,endameba
amend,5,verb,advance;build;build up;condition;educate;emend;enhance;enrich;fancify;fructify;help;help;iron out;perfect;polish;purify;raise;reform;reform;regenerate;relieve;repair;turn around;upgrade;upgrade
amide,5,noun,acetamide;acrylamide;peptide;proprionamide
amine,5,noun,aniline;enamine;histamine;monoamine;ptomaine
amino,5,noun,glucosamine
